"","OBJECTID","SiteName","Earliest","Latest","mean","max","min","sd"
"1","1","Konjevrate","Early Neolithic","Middle Neolithic",0.750024555760761,0.817062530517578,0.706332244873047,0.0149231714215999
"2","3","Cista Mala – Velištak","Late Neolithic","Late Neolithic",0.729924242637714,0.75,0.668107528686523,0.0176232181465673
"3","4","Krivace","Early Neolithic","Late Neolithic",0.737218681002772,0.750197372436523,0.666666641235352,0.0184053125552598
"4","8","Islam Grcki","Early Neolithic","Late Neolithic",0.795455560495027,0.833333358764648,0.730148315429688,0.0354143097539855
"5","9","Smilcic","Early Neolithic","Late Neolithic",0.787349150586385,0.833333358764648,0.733333358764648,0.0358730744844379
"6","12","Benkovac-Barice","Early Neolithic","Early Neolithic",0.828727255165316,0.85,0.723898849487305,0.0273949452469201
"7","15","Vrcelja","Early Neolithic cal BC 5540-5460 (cal 7490-7410 BP)","Early Neolithic",0.808718885193049,0.867073669433594,0.75,0.0222672984005191
"8","20","Tinj","Early Neolithic","Middle Neolithic",0.746778841560379,0.830276565551758,0.730476455688477,0.0193994587982405
"9","21","Sikovo-Koinka","Early Neolithic","Middle Neolithic",0.813541772985542,0.833333358764648,0.734131469726563,0.0236096132553968
"10","23","Nin","Early Neolithic","Late Neolithic",0.770065516101671,0.829250106811523,0.717166366577148,0.0389791991821982
"11","26","Vaganacka Pecina","Early Neolithic","Copper Age",0.681860413463027,0.744144973754883,0.569781951904297,0.0340049568503803
"12","29","Crno Vrilo","Early Neolithic","Early Neolithic",0.732044710238173,0.749528350830078,0.697155380249023,0.00502364950961696
"13","31","Danilo Bitinj","Middle Neolithic","Middle Neolithic",0.772699215399643,0.848489532470703,0.704944305419922,0.0308248896675939
"14","32","Pokrovnik","Early Neolithic","Middle Neolithic",0.798734825473904,0.816666641235352,0.721621780395508,0.0196828152995279
"15","0","Knin",NA,NA,0.755295821908736,0.85,0.618564109802246,0.0499629988875508
"16","0","Rasinovac","Early Neolithic","Early Neolithic",0.740879150914494,0.783839950561523,0.688228149414063,0.0138855196488693
