STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION_(M)
14542099999,BANJA LUKA,2001-07-05,2020-02-17,null,BK,44.7833333,17.2166666,156
13242099999,BANJA LUKA,1952-01-05,2020-02-17,null,BK,44.941444,17.297501,121.92
14528099999,BIHAC,2001-07-05,2020-02-17,null,BK,44.8166666,15.8833333,250
13228099999,BIHAC,1959-01-22,1992-06-24,null,BK,44.8166667,15.8833333,250
14446099999,BRAC,2004-08-11,2020-01-24,null,HR,43.285719,16.679719,541.32
13244099999,BUGOJNA,1973-04-11,1992-05-01,null,BK,44.067,17.467,562
14544099999,BUGOJNO,1999-08-24,2020-02-17,null,BK,44.0666666,17.4666666,566
14330099999,GOSPIC,1996-02-01,2020-02-17,null,HR,44.55,15.3666666,565
13223099999,GOSPIC,1982-04-01,1995-08-28,null,HR,44.55,15.367,564
14447099999,HVAR,1996-02-01,2020-02-17,null,HR,43.1666667,16.45,25
13335099999,HVAR,1982-01-02,1994-08-05,null,HR,43.167,16.45,20
14543099999,JAJCE,2002-11-07,2020-02-17,null,BK,44.35,17.2666666,431
14442099999,KNIN,2002-07-01,2020-02-17,null,HR,44.0333333,16.2,255
14441099999,KOMIZA,1996-02-01,2020-02-17,null,HR,43.05,16.1,20
14452099999,LASTOVO,2001-09-16,2020-02-17,null,HR,42.7666666,16.9,187
13439099999,LASTOVO ISLAND,1983-03-10,1990-05-07,null,HR,42.767,16.9,187
13340099999,LIVNO,1982-01-01,1992-04-12,null,BK,43.833,17.017,724
14640099999,LIVNO,1999-08-11,2020-02-17,null,BK,43.8333333,17.0166667,728
14253199999,LOSINJ ISLAND,2004-05-10,2020-02-16,null,HR,44.5666667,14.4,45
14454099999,MAKARSKA,1996-02-01,2020-02-17,null,HR,43.2833333,17.0166666,49
14314099999,MALI LOSINJ,1996-02-01,2020-02-17,null,HR,44.5333333,14.4833333,53
13214099999,MALI LOSINJ,1973-04-11,1995-12-31,null,HR,44.533,14.467,53
14657099999,NEUM,2008-07-23,2020-02-17,null,BK,42.9166666,17.6,14
14462099999,PLOCE,1996-02-01,2020-02-17,null,HR,43.05,17.45,5
14321099999,RAB,1996-02-01,2020-02-17,null,HR,44.75,14.7666666,19.86
14537099999,SANSKI MOST,2002-11-01,2020-02-17,null,BK,44.7666666,16.7,158
14323099999,SENJ,1996-02-01,2020-02-17,null,HR,45,14.9,28
13218099999,SENJ              &,1982-01-01,1995-12-30,null,SI,44.983,14.9,26
13329099999,SIBENIK,1973-04-11,1994-08-29,null,HR,43.733,15.917,77
14438099999,SIBENIK,1996-02-01,2020-02-17,null,HR,43.7333333,15.9166666,75
14444099999,SPLIT,1996-02-01,2020-02-17,null,HR,43.538944,16.297964,24.07
13333099999,SPLIT/KASTEL STAFIL,1961-01-05,1996-05-07,null,HR,43.533,16.3,24
14445099999,SPLIT/MARJAN,1996-02-01,2020-02-17,null,HR,43.5166666,16.4333333,128
13334099999,SPLIT/MARJAN,1952-01-02,1995-12-30,null,HR,43.517,16.433,128
14427099999,VELA SESTRICA,1996-02-01,2009-09-10,null,HR,43.85,15.2,35
14431099999,ZADAR,1996-01-01,2020-02-17,null,HR,44.108269,15.346697,88.08
13222099999,ZADAR,1952-01-02,1962-12-31,null,null,44.117,15.233,4
13222199999,ZADAR,1952-01-02,1956-12-31,null,HR,44.117,15.25,4
14428099999,ZADAR PUNTAMIKA,1996-02-01,2020-02-17,null,HR,44.1333333,15.2166666,7
13224099999,ZADAR/ZEMUNIK,1973-01-01,1995-12-22,null,HR,44.083,15.35,82
14324099999,ZAVIZAN,1996-02-01,2020-02-17,null,HR,44.8166666,14.9833333,1597
13219099999,ZAVIZAN MOUNTAIN,1981-12-31,1995-12-24,null,HR,44.817,14.983,1597
